,Algeria,Argentina,Australia,Austria,Bangladesh,Belarus,Belgium,Bolivia,Bulgaria,Canada,Chile,Colombia,Costa Rica,Croatia,Cuba,Czech Republic,Denmark,Dominican Republic,Ecuador,El Salvador,Estonia,Ethiopia,Fiji,Finland,France,Ghana,Greece,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,Kuwait,Latvia,Lithuania,Luxembourg,Malawi,Malaysia,Malta,Mexico,Morocco,Mozambique,Myanmar,Nepal,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Thailand,Togo,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Vietnam,Zambia,Zimbabwe
2020-03-15,8.954904119357546e-07,1.016465820173508e-06,1.0122390267903083e-05,7.435398308043898e-05,1.821828223934097e-08,0.0,0.00013550745563603735,9.048463570885663e-07,5.794241400250509e-06,6.647037384109652e-06,3.378616767709463e-06,6.929496348919707e-07,5.5037242886895004e-06,8.968175097559202e-06,3.4829140427262996e-07,2.020521893251674e-05,0.0001433374185364227,1.0216403866704535e-06,1.684224911875939e-06,0.0,8.742056131602152e-05,9.527671588172722e-09,0.0,3.8103512000701104e-05,6.703055162851313e-05,6.936345057363401e-08,2.118876203821393e-05,3.169368928549849e-06,0.0004043553169794072,6.720529836536321e-08,3.6364823867979414e-07,0.00015683295650218424,2.2207929024921946e-06,2.6799024764791816e-05,2.043065056700794e-05,0.00034940553661040727,6.152108662455307e-06,3.326376401887475e-07,2.012078021464124e-08,2.5141858099352888e-05,1.3396951678225832e-05,3.182775104050223e-06,0.0,0.0,7.525866847051366e-06,3.868538466167482e-05,3.174276874179004e-07,5.036432996694421e-07,0.0,0.0,3.4123871975695065e-08,1.6687874173428732e-06,1.0477440679337137e-08,0.00017170801005561483,4.3138200558984806e-06,1.5227193147884902e-07,1.0491420579824218e-05,0.0,1.3368366744664351e-06,1.0579681730767305e-06,2.738583195563727e-06,1.6417780242279804e-05,5.769268373549814e-06,4.0831850260552883e-07,8.191076853843422e-08,2.6109491732292823e-06,1.324873741109703e-06,6.550590208177757e-06,8.088395872565117e-06,8.757719857476577e-05,4.231523879652922e-07,0.00015858951780800762,0.0002101046576713387,5.129639992538706e-07,9.873115565910297e-05,0.00016052412840654584,1.1877600515534214e-06,1.2824304210962881e-07,1.38742835558436e-06,0.0,0.0,0.0,9.148795045182814e-06,3.398852990111383e-05,9.05995163723519e-06,1.7357344326318073e-06,5.54736824477082e-07,0.0,0.0
2020-03-16,1.1617172911598978e-06,1.2649352428825877e-06,1.2114346585683208e-05,9.762507702164507e-05,0.0,2.8397512588249215e-06,0.00015432549295343645,0.0,7.207471010067706e-06,8.281554773644813e-06,4.1540370094788475e-06,9.171392226511377e-07,7.1344574112641665e-06,1.1634389315752478e-05,0.0,2.8136239448084058e-05,0.0001516568817646552,1.0216403866704535e-06,2.2255829192646337e-06,0.0,0.00012999057378295376,3.811068635269089e-08,0.0,4.844589382946283e-05,8.079721748864787e-05,6.936345057363401e-08,3.076087822214391e-05,3.987270587530455e-06,0.0005215597566835832,6.944547497754198e-08,4.4319629089099913e-07,0.00017172894553597643,3.2397449401062603e-06,3.5108799885657496e-05,2.8694733942426887e-05,0.000396027072265329,6.420277501587974e-06,4.989564602831212e-07,6.036234064392372e-08,2.7075847183918494e-05,1.5973288539423106e-05,4.950983495189235e-06,0.00012845129443872624,0.0,1.3533911808983127e-05,4.083457269843453e-05,4.103333520280176e-07,7.834451328191322e-07,0.0,0.0,0.0,0.0,1.0477440679337137e-08,0.0002038914298014302,4.7452020614883285e-06,1.5734766252814397e-07,1.0491420579824218e-05,1.1745193316339017e-06,2.2073349741189976e-06,1.3343742723490296e-06,3.2915663408217874e-06,2.380092401987309e-05,7.096710654189594e-06,4.3600111295166634e-07,4.0955384269217105e-07,3.582465144663434e-06,1.6403198699453463e-06,7.83222742282123e-06,1.1213457914238003e-05,0.0001059635717562083,8.991988244262459e-07,0.00016002735465164798,0.00024673608802262164,8.860287259839582e-07,0.00010558472682658598,0.0002598624595249454,1.6512761692328053e-06,1.2824304210962881e-07,1.560856900032405e-06,2.2292396484637691e-07,0.0,6.69177435274426e-08,1.0425371097999021e-05,3.945638163654257e-05,1.1586668071475975e-05,2.3143125768424097e-06,5.966037546262957e-07,0.0,0.0
2020-03-17,1.4037417268182099e-06,1.4682284069172894e-06,1.5244563656480548e-05,0.0001153338119232458,3.036380373223495e-08,3.786335011766562e-06,0.00018835624268163012,9.95330992797423e-07,8.762023580866623e-06,1.1550589552715133e-05,8.640396979716003e-06,1.1617096820247744e-06,8.357507253195167e-06,1.3573454201711226e-05,0.0,3.247941734946616e-05,0.00016153624434818133,1.0216403866704535e-06,3.488751603171588e-06,0.0,0.00015583665278073403,4.763835794086361e-08,0.0,4.935312030567e-05,9.882499421025286e-05,2.08090351720902e-07,3.271247472566361e-05,5.1118853686287886e-06,0.0005830920875282755,9.334069217411557e-08,5.075923331572127e-07,0.00018470287146863412,3.2397449401062603e-06,4.6326996298826164e-05,2.984252330012396e-05,0.000462086633944283,6.49915068956817e-06,6.098356736793704e-07,6.036234064392372e-08,2.9735082175196202e-05,1.854962540062038e-05,6.011908529872643e-06,0.0001351240889550237,0.0,1.748657296814876e-05,6.447564110279136e-05,6.348553748358008e-07,1.0352667826538532e-06,0.0,0.0,3.4123871975695065e-08,0.0,1.0477440679337137e-08,0.00022130833931093027,5.1765840670781765e-06,9.491617062181588e-07,1.6835070232741186e-05,1.3213342480881394e-06,2.6736733489328702e-06,1.3534367619540158e-06,4.660857938603651e-06,3.215553408399181e-05,9.39420690914306e-06,6.436206905476979e-07,4.0955384269217105e-07,4.037863256273192e-06,1.7034090957124751e-06,8.117035692742002e-06,1.5441483029442497e-05,0.0001224145372343411,1.0931436689103383e-06,0.00016165949377145594,0.0003004807950386013,1.3523596343965678e-06,0.00011382887765123944,0.0002598624595249454,2.5638235259140926e-06,1.2824304210962881e-07,1.7342854444804502e-06,5.820792415433175e-07,0.0,1.1152957254573767e-07,1.0425371097999021e-05,4.615109207161044e-05,1.4309872782498549e-05,8.389383091053736e-06,6.384706847755096e-07,0.0,0.0
2020-03-18,1.452146613949872e-06,1.7844622176379364e-06,1.8456085066779115e-05,0.00015120535185212934,4.858208597157592e-08,3.786335011766562e-06,0.00022546470879351055,1.0858156285062796e-06,1.1447159839519298e-05,1.550067324409177e-05,1.1132819185403311e-05,1.3247566549405321e-06,1.0192082016091667e-05,1.6724434641394186e-05,6.095099574771025e-07,4.097693933043115e-05,0.00017748188220229364,1.0216403866704535e-06,6.676748757793901e-06,0.0,0.00017104022866178126,4.763835794086361e-08,0.0,5.788104918201739e-05,0.00011516918517190633,2.08090351720902e-07,3.596513556486312e-05,5.1118853686287886e-06,0.0007237374151732867,1.0230139862283067e-07,6.515364276346312e-07,0.00019921691206566241,4.023554199809388e-06,6.066135838231946e-05,4.901060557366512e-05,0.0005203181375642809,6.538587283558268e-06,1.8295070210381112e-06,8.048312085856496e-08,3.142732262419111e-05,3.143130970660676e-05,8.841041955695063e-06,0.00023354780807041133,0.0,2.128112768094777e-05,8.166914539686906e-05,7.200189007284083e-07,1.2311280658586362e-06,0.0,0.0,3.4123871975695065e-08,4.171968543357183e-06,1.5716161019005707e-08,0.00024762301780897926,5.1765840670781765e-06,9.491617062181588e-07,2.0982841159648435e-05,1.6149640809966149e-06,3.637439323548207e-06,1.782342778066204e-06,6.267142312924683e-06,4.352168963633937e-05,1.1079037496108935e-05,7.889543948649201e-07,5.733753797690395e-07,4.037863256273192e-06,1.95576599878099e-06,1.0253097717147794e-05,1.7831236355427644e-05,0.00013305927960254466,1.4986647073770765e-06,0.00016346650493981478,0.000379798792528425,1.9585898153329604e-06,0.00012564880473718839,0.0003130161444277752,2.5638235259140926e-06,1.2824304210962881e-07,2.0811425333765403e-06,1.2136971419413855e-06,0.0,3.1228280312806544e-07,1.2021091164019278e-05,5.5405544731851324e-05,1.973172116994597e-05,1.4464453605265062e-05,7.117378125366335e-07,0.0,0.0
2020-03-19,1.7425759367398467e-06,2.1910485457073395e-06,2.296847590909736e-05,0.00018684985671817185,6.07276074644699e-08,4.838094737257274e-06,0.00027242186733318863,1.0858156285062796e-06,1.3001712410318215e-05,1.8796949979654346e-05,1.3182144110079544e-05,2.0788489046759122e-06,1.40650731822065e-05,1.9633031970332306e-05,9.578013617497325e-07,4.928562748959691e-05,0.00019325419790581778,1.950404374552684e-06,1.0105349471255634e-05,1.5679257580881843e-07,0.00019612612886550916,5.7166029529036334e-08,0.0,6.695331394408909e-05,0.00013608736576457858,2.42772077007719e-07,3.884606373672554e-05,7.463352638198032e-06,0.0007325277481511,1.2320971366983256e-07,6.515364276346312e-07,0.0002139034455051002,4.284823953043764e-06,7.603444235592096e-05,4.9699279188283365e-05,0.0005897962815601208,6.885629310671132e-06,2.0512654478306093e-06,1.4084546150248868e-07,3.4328306251039516e-05,3.658398342900131e-05,1.1670175381517484e-05,0.000350321712105617,0.0,2.49808185259268e-05,0.00010316102576446619,9.135723686661524e-07,1.5109298990083263e-06,0.0,0.0,3.4123871975695065e-08,5.840755960700056e-06,4.190976271734855e-08,0.0002693941546958544,8.411949109002036e-06,1.53287077688708e-06,2.659453123722883e-05,1.6149640809966149e-06,4.507937623200769e-06,1.9253114501036e-06,7.557436318526824e-06,6.236813559493275e-05,1.3274422806397802e-05,1.0173359302205548e-06,9.010184539227763e-07,5.191538472351248e-06,2.2712121276166336e-06,1.3385988686276286e-05,1.966950814464699e-05,0.00013838165078664647,2.0452365418322457e-06,0.00016641989953756253,0.0004666964470604544,1.9585898153329604e-06,0.00014005123690073962,0.00035471225725155055,2.5638235259140926e-06,1.2824304210962881e-07,2.5147138944966527e-06,2.365470960314333e-06,0.0,4.2381237567380314e-07,1.2021091164019278e-05,6.705312917657349e-05,2.890526759219563e-05,2.2853836696318796e-05,7.954716728350611e-07,1.1699922722010422e-07,0.0
2020-03-20,2.1782199209248084e-06,2.8912805551602007e-06,2.882238835318589e-05,0.00024928449899945645,6.07276074644699e-08,5.995030435297057e-06,0.00033511934680657905,1.3572695356328495e-06,1.4838910903080572e-05,2.304669519244576e-05,1.8942408763223545e-05,2.608751566652125e-06,1.77342227079995e-05,2.5207843517463704e-05,1.3931656170905198e-06,6.552533616433e-05,0.00019949379532699217,1.950404374552684e-06,1.1970027052261138e-05,1.5679257580881843e-07,0.0002029677380119804,6.669370111720906e-08,1.10435979158522e-06,7.257811809657353e-05,0.00016381438434218758,3.8149897815498704e-07,4.312098941110204e-05,8.690205126668941e-06,0.0009669366275594519,1.426245776420486e-07,8.598765643782632e-07,0.00022679112501655316,4.624474632248452e-06,0.00011571361855805458,7.7705339516092e-05,0.000677688528373969,7.492952858118642e-06,2.7165407282081042e-06,1.4084546150248868e-07,3.5778798064463725e-05,4.4312994012593135e-05,1.6974800554934522e-05,0.0005755285270306565,0.0,2.845916034599256e-05,0.00011175777791150504,1.2697107496716016e-06,1.7627515488430473e-06,0.0,0.0,3.4123871975695065e-08,8.135338659546508e-06,4.190976271734855e-08,0.00029381569085591426,8.411949109002036e-06,2.426199441562994e-06,3.3426153940370184e-05,1.9085939139050904e-06,7.274878647096414e-06,2.192186304573406e-06,9.348048407933875e-06,7.626010349224643e-05,1.4142365836046889e-05,1.377209864720343e-06,9.010184539227763e-07,7.225650037541502e-06,2.2712121276166336e-06,1.794292100500864e-05,2.261074300739794e-05,0.0001543487643389518,2.644702424783076e-06,0.00016811032934022077,0.0005648025462837908,2.471553814586831e-06,0.00015425501482755222,0.0004562948550658474,3.070794279625919e-06,1.2824304210962881e-07,3.381856616736878e-06,4.44609463221385e-06,0.0,5.799537772378358e-07,1.4893387282855743e-05,8.218438647212283e-05,4.374934287719466e-05,2.7193172777898314e-05,9.106057307453988e-07,1.1699922722010422e-07,0.0
2020-03-21,2.4686492437147827e-06,3.5689244352758728e-06,3.552999636203733e-05,0.0003007079407329509,1.0323693268959883e-07,5.995030435297057e-06,0.00039333215383516876,1.719208078468276e-06,1.7948016044678405e-05,2.6451939753977345e-05,2.4038027494850932e-05,3.2201777150862168e-06,2.3034105356367168e-05,3.0540271953850257e-05,1.8285298724313074e-06,8.535288745324829e-05,0.00021751929898816263,3.1577975587995838e-06,2.5624279016398216e-05,4.703777274264553e-07,0.00021513059871681818,8.57490442935545e-08,1.10435979158522e-06,8.165038285864522e-05,0.00018790604959742336,5.549076045890721e-07,4.600191758296446e-05,1.0530483859375305e-05,0.0011984153959751994,1.7249359913776558e-07,1.1704927682505874e-06,0.00024203209973516434,5.042506237423454e-06,0.00014188941018878148,8.172260226803177e-05,0.0007765466624265236,7.942530029605761e-06,2.9382991550006026e-06,1.4084546150248868e-07,3.843803305574143e-05,5.719467831857951e-05,2.4401275797718375e-05,0.0008074081364719934,0.0,3.256992795152482e-05,0.00013754803435262158,1.5716541596544826e-06,2.4062957650873345e-06,0.0,0.0,3.4123871975695065e-08,1.1055716639896536e-05,6.286464407602283e-08,0.0003297853952777079,1.0353168134156353e-05,2.5124868694010085e-06,4.879730502243822e-05,2.6426684961762788e-06,8.176466171736568e-06,2.192186304573406e-06,1.1191325558794077e-05,9.90895612255941e-05,1.5725085478348164e-05,1.7509251043931997e-06,1.3924830651533817e-06,8.318605505404923e-06,2.9651936110550493e-06,1.9224558219652114e-05,2.5184323512305024e-05,0.0001649935067071554,3.6144266472035376e-06,0.00017096657279988472,0.0006817396914731735,3.0777839955232233e-06,0.00017213389613402963,0.0005676813547622217,5.301465595957954e-06,1.1541873789866594e-06,4.6825707000972155e-06,8.297725358170696e-06,0.0,5.799537772378358e-07,1.4893387282855743e-05,9.816384237483008e-05,6.02482178682153e-05,3.182179793158313e-05,9.210724632827022e-07,1.1699922722010422e-07,6.049641909596088e-08
2020-03-22,3.364139655650537e-06,5.08232910086754e-06,4.463608238617504e-05,0.000343277015015645,1.4574625791472776e-07,7.993373913729409e-06,0.00043466148813039107,1.8096927141771326e-06,2.3035642640020316e-05,3.546902735291298e-05,2.974290498786855e-05,4.279983039038642e-06,2.38494719176545e-05,4.993092081343772e-05,2.1768212767039375e-06,9.394482634511288e-05,0.00022982517167992322,1.040215666428098e-05,3.200027332564284e-05,4.703777274264553e-07,0.0002326147109800225,8.57490442935545e-08,2.20871958317044e-06,9.453299882078702e-05,0.0002154244823286667,7.28316231023157e-07,4.9254578422163966e-05,1.3393139665807426e-05,0.001385942499501881,2.3895217196573587e-07,1.704601118811535e-06,0.00025393410586142015,5.591172719215643e-06,0.00016307933674698897,0.00010134980028465176,0.0008848347989087489,8.250135462728526e-06,3.1046179750949765e-06,1.4084546150248868e-07,4.254775986044335e-05,6.389315415769242e-05,3.713237621391927e-05,0.0011176930814798256,0.0,3.7407985210343553e-05,0.00015689072668345898,1.943276818094951e-06,2.6860975982370248e-06,0.0,0.0,3.4123871975695065e-08,1.3767496193078705e-05,1.152518474727085e-07,0.00036461921429670804,1.1215932145336049e-05,3.278922257844549e-06,5.977669865248682e-05,3.2299281619932297e-06,9.886373546054101e-06,3.621873024947366e-06,1.4114236469443823e-05,0.00012434768467525534,1.8737358345953822e-05,2.1177196914795223e-06,1.3924830651533817e-06,1.1901070650068358e-05,3.532996642959208e-06,2.1218216109097515e-05,3.272123784810434e-05,0.00018531528759190767,4.231523879652922e-06,0.00017287073510632736,0.0007862230092277708,3.637381085618355e-06,0.000185642384232257,0.0007178109847877697,8.676442327810968e-06,1.923645631644432e-06,5.20285633344135e-06,1.1728277483862163e-05,2.333016774063983e-08,9.145424948750489e-07,1.6276344673406635e-05,0.00011717257901738705,8.21167490481632e-05,3.905402473421567e-05,9.943395910438262e-07,1.1699922722010422e-07,1.2099283819192176e-07
2020-03-23,4.864691156732072e-06,6.008442403692292e-06,6.947455810380067e-05,0.00041218215658789915,1.6396454015406873e-07,7.993373913729409e-06,0.0004773977784867273,2.4430851641391293e-06,2.614474778161815e-05,3.8955997783921325e-05,3.500468519987509e-05,4.789504829400386e-06,2.7314779803125667e-05,5.6960031025038174e-05,3.047549787385512e-06,0.00010999570119804674,0.00024178440007050744,1.8761032555221057e-05,4.7459051981075566e-05,4.703777274264553e-07,0.00024781828686106975,1.0480438746989994e-07,3.3130793747556606e-06,0.00011358475482113758,0.00023865200622038752,8.32361406883608e-07,5.79902961045855e-05,1.7073697131220156e-05,0.001664303043799299,3.278125109154939e-07,1.947033277931398e-06,0.00026660000886120374,6.087585250360958e-06,0.00018821640648760763,0.00012292824020935679,0.000976657589642495,8.58929017104337e-06,3.326376401887475e-06,3.018117032196186e-07,4.5448743487291754e-05,7.162216474128425e-05,5.057075998657576e-05,0.0013312225060013445,0.0,4.1297403790962534e-05,0.0001934269233083741,2.446515834733086e-06,3.217721081221436e-06,3.370540278057439e-08,0.0,3.4123871975695065e-08,2.1277039571121634e-05,1.5716161019005704e-07,0.00040361794645928426,1.186300515372082e-05,3.979373142647254e-06,7.636778236011582e-05,3.2299281619932297e-06,1.1285388670495719e-05,3.621873024947366e-06,1.6694824480648104e-05,0.00015543460584406917,2.210701951988557e-05,3.0312458329020614e-06,1.55630460223025e-06,1.551389566883911e-05,4.2269781263976235e-06,2.6771977372552572e-05,3.400802810055788e-05,0.00020031469729255816,4.830989762603752e-06,0.0001741142696738001,0.0008859824614036563,4.057078903189703e-06,0.00019736298419983662,0.0008234096387947248,1.044359752646362e-05,1.923645631644432e-06,6.503570416801688e-06,1.530744558611788e-05,2.333016774063983e-08,1.048377981929934e-06,1.6276344673406635e-05,0.00013531797064908686,0.0001080869730059309,4.570767339263759e-05,1.2664746370137157e-06,1.7549884083015632e-07,1.2099283819192176e-07
2020-03-24,5.566562020141177e-06,6.799026930493909e-06,7.410890545537077e-05,0.0005092396459524416,2.004011046327507e-07,8.519253776474764e-06,0.0005941751315591852,2.533569799847986e-06,2.8405915157325666e-05,4.48402603862479e-05,4.131882145428294e-05,6.236546714027736e-06,3.220697917084967e-05,7.416923188792205e-05,3.4829140427263e-06,0.00011669930187191912,0.00025305033985873897,2.2754717703114647e-05,5.9008022805367724e-05,7.839628790440921e-07,0.0002675829355064311,1.0480438746989994e-07,4.41743916634088e-06,0.00012701170666900368,0.00029583432610263543,9.36406582744059e-07,6.458855094981878e-05,1.911845127867167e-05,0.001722905263651387,3.673889643973189e-07,2.1932534395375085e-06,0.00028398482319261876,6.949775436034397e-06,0.00023371242527434722,0.00016551122537991828,0.0010557473998626225,8.896895604166135e-06,3.437255615283724e-06,3.2193248343425985e-07,4.569049212286246e-05,9.274812700310191e-05,6.330186040277665e-05,0.0014596738004400709,0.0,4.800111711690745e-05,0.0002299631199332892,2.8413649093260845e-06,3.749344564205847e-06,3.370540278057439e-08,3.747380885235917e-08,6.824774395139013e-08,2.9620976657836e-05,2.0954881358674274e-07,0.0004488640483372247,1.4235606184464985e-05,4.502173440724636e-06,8.417535116370593e-05,3.9640027442644186e-06,1.2280243870098648e-05,4.403435098751798e-06,1.972306551420415e-05,0.00020012205502423905,2.9407952063404362e-05,3.0312458329020614e-06,2.9487876673836317e-06,1.7062249248312287e-05,4.984048835603168e-06,3.1613717961205696e-05,3.511099117408949e-05,0.00021386255121572635,7.087802498418644e-06,0.00017559096697267396,0.001051124507612166,4.523409811602313e-06,0.00021544051974305267,0.0009467261877692899,1.1978994666276579e-05,2.308374757973319e-06,7.717570227938003e-06,1.893615234722835e-05,2.099715096657585e-07,1.62833175916777e-06,2.106350487146741e-05,0.0001561897149466514,0.0001425829460984333,4.68648296810588e-05,1.3816086949240535e-06,1.7549884083015632e-07,1.2099283819192176e-07
2020-03-25,6.389445101379438e-06,8.74160605349217e-06,9.850020730573964e-05,0.0005995996009631736,2.3683766911143262e-07,8.519253776474764e-06,0.0006992571623736333,2.8955083426834125e-06,3.109105141597834e-05,5.336699276832299e-05,5.1066961636526636e-05,7.703969470269556e-06,3.60799703369645e-05,9.259034830453014e-05,4.17949685127156e-06,0.00013161717379405765,0.00027575554158579024,2.8977436421925593e-05,6.508326266606307e-05,1.4111331822793659e-06,0.00028050597500532123,1.0480438746989994e-07,5.521798957926101e-06,0.0001437046738312156,0.00033227725326052455,1.8381314402013011e-06,6.904934295786382e-05,2.3105721866202125e-05,0.0018987119232076511,4.196597520148236e-07,2.598569705566029e-06,0.0003056942795015864,8.256124202206276e-06,0.0002760922783907622,0.00022152334603553557,0.00114243405967583,9.409571326037411e-06,4.379728929151842e-06,5.03019505366031e-07,4.617398939400386e-05,0.00010150767233117264,7.391111074961073e-05,0.001833350293352729,0.0,5.1352973779879905e-05,0.0002450074361906072,3.1355661805914554e-06,4.756631163544731e-06,3.370540278057439e-08,5.6210713278538755e-08,1.023716159270852e-07,3.942510273472538e-05,2.30503694945417e-07,0.0004857803239280129,1.8118044234773618e-05,5.030049469851312e-06,0.00010808603062470066,5.432151908806795e-06,1.2933117594838069e-05,5.2612471309761735e-06,2.372561018464344e-05,0.0002294603368773071,3.890426991721202e-05,3.4257230303345212e-06,3.2764307415373684e-06,2.328602344031232e-05,5.425673415973069e-06,3.545862960513612e-05,3.750074450007464e-05,0.0002322489243971689,9.82066167069449e-06,0.00017753398973435012,0.0012347755180427188,4.756575265808618e-06,0.00023828575696799602,0.001038150525802157,1.352887668476702e-05,2.308374757973319e-06,9.885427033538565e-06,2.31840923440232e-05,2.099715096657585e-07,1.8736968187683928e-06,2.63825717582016e-05,0.00019160200679549461,0.00016956631273335707,5.4675634627901934e-05,1.4339423576105705e-06,1.7549884083015632e-07,1.2099283819192176e-07
2020-03-26,7.309137956881024e-06,1.1339240927268911e-05,0.00011378542313197081,0.0006683912250040071,2.3683766911143262e-07,9.04513363922012e-06,0.00080469093220336,3.5289007926454087e-06,3.420015655757617e-05,9.22140227262753e-05,6.325213686433125e-05,9.579009658800772e-06,4.09721697046885e-05,0.0001013161402913445,4.963152510884977e-06,0.0001561655706279565,0.0002988073876140178,3.640754832498343e-05,7.284272743863436e-05,2.0383034855146393e-06,0.0003071122327971539,1.1433205905807267e-07,5.521798957926101e-06,0.00015967185981246177,0.0003759461900960818,2.358357319503556e-06,7.629812997093701e-05,2.668404162424228e-05,0.0021594918015494426,4.846248737680081e-07,2.9925219641358063e-06,0.00033287422309839825,9.039933461909404e-06,0.00032491220722584804,0.0002719112988384372,0.0012284766387626674,1.0001120235888882e-05,4.878685389434963e-06,5.03019505366031e-07,4.714098393628666e-05,0.00011387408926491957,9.689781983441789e-05,0.0022237087725561306,0.0,5.6791835534891816e-05,0.0002772452567420029,3.6775158908171392e-06,6.295541245868026e-06,1.6852701390287196e-07,5.6210713278538755e-08,1.023716159270852e-07,5.4652787917979096e-05,2.6717473732309697e-07,0.0005520403057576327,2.1353409276697477e-05,5.36504771910478e-06,0.00014346407676596836,6.019411574623747e-06,1.7347787543076063e-05,6.061871694385592e-06,2.7675489793629586e-05,0.00029095415281436696,4.625625793306311e-05,4.553789401939627e-06,3.358341510075803e-06,2.7323886696585513e-05,6.245833350945742e-06,4.3148452892996964e-05,3.970667064713785e-05,0.00025547381683688577,1.2500626794474673e-05,0.00017955473340649331,0.001427036847096287,4.756575265808618e-06,0.0002694744721359621,0.0011474108781024182,1.5136698217967383e-05,2.949589968521463e-06,1.5001569094755894e-05,3.0131889248401944e-05,3.2662234836895764e-07,2.520568339533671e-06,3.5424985465649735e-05,0.00022757471558120998,0.00021243452849435842,6.277572864685037e-05,1.6014100782074256e-06,7.019953633206253e-07,1.8148925728788262e-07
2020-03-27,8.882296788660052e-06,1.330440817960436e-05,0.00012870476943044643,0.0007979147283548177,2.914925158294555e-07,9.04513363922012e-06,0.0009245460016595047,5.519562778240255e-06,3.730926169917401e-05,0.00010945818118587125,7.233563112505833e-05,1.0007007962704636e-05,4.70874189143435e-05,0.00011997963981869744,5.833881021566552e-06,0.00019468767027499775,0.0003253256766540089,4.532368260865285e-05,8.439169826292652e-05,2.0383034855146393e-06,0.0004089761912001703,1.1433205905807267e-07,5.521798957926101e-06,0.0001738245928412936,0.0004343800250565238,4.577987737859844e-06,8.28963848161703e-05,3.0671312211772736e-05,0.002349949016068729,5.406292890724774e-07,3.382686220219335e-06,0.00036230889456384866,9.980504573553157e-06,0.0003778870236213668,0.0003060006427620403,0.0013300927595153184,1.0758302840498766e-05,6.65275280377495e-06,6.237441866538785e-07,5.0283716198705776e-05,0.00012572523882642704,0.00010573886179011295,0.002423892608045055,0.0,6.42228385141232e-05,0.00028799119692580143,4.529151149743213e-06,7.694550411616476e-06,2.3593781946402073e-07,9.368452213089793e-08,1.023716159270852e-07,7.05062683827364e-05,3.4051682207845695e-07,0.0005974757218693721,2.351031930464672e-05,6.075650066006076e-06,0.00016444691792561681,7.634375655620361e-06,1.8031750492803076e-05,6.738590075362599e-06,3.2152020017147214e-05,0.00034428765194461324,5.2536081029935914e-05,5.813348172688885e-06,4.09553842692171e-06,3.0724192596605045e-05,6.624368705548515e-06,5.468318782478823e-05,4.154494243635719e-05,0.0002791825612024301,1.6344260985159412e-05,0.00018132288411961862,0.0016241723465424353,4.943107629173662e-06,0.00029788202798958734,0.0012655301778864844,1.645482217761813e-05,3.0778330106310917e-06,1.5001569094755894e-05,4.494394824597232e-05,3.2662234836895764e-07,3.479722663427015e-06,3.5424985465649735e-05,0.0002683488343395872,0.00026400349076160324,6.885079916106169e-05,1.70607740358046e-06,8.189945905407295e-07,1.8148925728788262e-07
2020-03-28,9.898799418424962e-06,1.5585809242660456e-05,0.00013732302941757676,0.0008737444393437234,2.914925158294555e-07,9.88654141961269e-06,0.0010581188927115104,6.695863042455391e-06,4.140762756764388e-05,0.00012735614660128124,8.917332780347926e-05,1.0985289800199182e-05,5.3610351404642164e-05,0.00014203650289647818,6.9658280854526e-06,0.00021517613994021334,0.00035461712010341094,5.396118769595759e-05,9.786549755793403e-05,2.0383034855146393e-06,0.00043710280658010764,1.5244274541076356e-07,5.521798957926101e-06,0.00018598142762246968,0.0004911302742570142,4.751396364293929e-06,8.97734391619064e-05,3.506753362879349e-05,0.0026077987834179158,6.518913941440232e-07,3.962250600615257e-06,0.00039835989862743504,1.1966154698134414e-05,0.0004406258257839026,0.0003483540700610624,0.00142850499152654,1.1823090878231415e-05,1.0699844092738043e-05,6.237441866538785e-07,5.4393443003407686e-05,0.0001442748642270474,0.0001266037208055533,0.0026774587996643583,0.0,6.833360611965547e-05,0.00029873713710959997,5.551113460454503e-06,9.653163243664308e-06,2.3593781946402073e-07,9.368452213089793e-08,1.023716159270852e-07,8.677694570182941e-05,4.2433634751315404e-07,0.0006779342712339104,2.8255521366135045e-05,6.075650066006076e-06,0.0001917734087381822,8.221635321437313e-06,1.974165786712061e-05,7.653589576401933e-06,3.6575885179211696e-05,0.00041462181108905454,6.596367025333061e-05,7.1697960796496245e-06,4.423181501075448e-06,3.351730101447823e-05,7.507617866288317e-06,6.50786896768964e-05,5.422901778197067e-05,0.000305794417122939,2.0628678913307994e-05,0.00018415969735166582,0.001801188473046525,4.943107629173662e-06,0.0003341364261943887,0.0014297160045863362,1.645482217761813e-05,3.2060760527407206e-06,1.968413979485311e-05,7.056781953859198e-05,3.2662234836895764e-07,4.862689362994162e-06,4.308444178254697e-05,0.00031510578255916757,0.00032139955848715793,6.885079916106169e-05,1.7898112638788874e-06,9.359938177608337e-07,3.024820954798044e-07
