iter	RMSE
0	82.39693387
1	81.96086076
2	81.53427961
3	81.16363337
4	80.70615874
5	80.2905422
6	79.89530373
7	79.48364144
8	79.07018119
9	78.60753112
10	78.21368013
11	77.80708858
12	77.38641272
13	76.93221004
14	76.51275539
15	76.10091674
16	75.69574191
17	75.31618904
18	74.94680354
19	74.52526253
20	74.15187819
21	73.7725662
22	73.34015522
23	73.00892411
24	72.67790249
25	72.32551047
26	71.92042587
27	71.57200724
28	71.200402
29	70.84797664
30	70.45251601
31	70.07364763
32	69.68314029
33	69.29307554
34	68.95299491
35	68.55112951
36	68.18240217
37	67.85259395
38	67.53905568
39	67.1975829
40	66.8094239
41	66.556917
42	66.22488468
43	65.89443593
44	65.54023675
45	65.21421963
46	64.92069605
47	64.56558315
48	64.24742291
49	63.94059177
50	63.65574266
51	63.35619231
52	63.05125241
53	62.72529879
54	62.36992683
55	62.07224728
56	61.76952961
57	61.4578607
58	61.20096012
59	60.8713174
60	60.62285762
61	60.2886372
62	59.98023099
63	59.74150018
64	59.44514411
65	59.12677938
66	58.83587216
67	58.58113257
68	58.29867369
69	57.99202642
70	57.71168478
71	57.44408597
72	57.15697767
73	56.89793442
74	56.63011139
75	56.39871248
76	56.11778376
77	55.85021151
78	55.63408345
79	55.35905694
80	55.12950182
81	54.89177784
82	54.61417382
83	54.33931634
84	54.1463004
85	53.86873136
86	53.62758784
87	53.36165439
88	53.11676691
89	52.89045756
90	52.65039263
91	52.45633692
92	52.20627002
93	51.98913372
94	51.77284939
95	51.55954683
96	51.31982497
97	51.12733246
98	50.88661117
99	50.63591219
100	50.41802599
101	50.17311356
102	49.94388755
103	49.74122375
104	49.54948659
105	49.37978656
106	49.15208857
107	48.98396751
108	48.81734314
109	48.58486555
110	48.37526959
111	48.19038209
112	47.99285196
113	47.76590073
114	47.58022492
115	47.4350071
116	47.22447738
117	47.04937969
118	46.82232947
119	46.61633722
120	46.44410708
121	46.23673149
122	46.02339076
123	45.82504837
124	45.61184479
125	45.42969163
126	45.25168117
127	45.07257438
128	44.94402919
129	44.7941673
130	44.59501341
131	44.41514735
132	44.28202863
133	44.09430231
134	43.90230801
135	43.74999806
136	43.5810337
137	43.45385084
138	43.2712487
139	43.12979794
140	42.95653648
141	42.78007246
142	42.64619935
143	42.45912752
144	42.3152591
145	42.18835333
146	42.03869287
147	41.89352888
148	41.71937271
149	41.57297218
150	41.4314466
151	41.30923866
152	41.15358907
153	40.99543869
154	40.82202962
155	40.66983152
