iter	RMSE
0	225.1812294
1	223.1265064
2	220.9767372
3	218.7983354
4	216.7557386
5	214.7447755
6	212.7199434
7	210.7010257
8	208.6494511
9	206.7491428
10	204.8248671
11	202.869038
12	200.9929808
13	199.1586554
14	197.3336603
15	195.618573
16	193.8974418
17	192.0967713
18	190.4527779
19	188.812094
20	187.0912207
21	185.4530576
22	183.8206206
23	182.239182
24	180.744928
25	179.2121092
26	177.7318611
27	176.2277901
28	174.8192192
29	173.4817851
30	172.099264
31	170.7117491
32	169.4895884
33	168.1347305
34	166.8170582
35	165.5095921
36	164.2591591
37	162.9620435
38	161.71559
39	160.4831278
40	159.3489311
41	158.2373032
42	157.1029956
43	155.973504
44	154.8594889
45	153.782797
46	152.7361279
47	151.6731611
48	150.6952135
49	149.6790759
50	148.7218703
51	147.7575514
52	146.8593074
53	145.9078447
54	145.0002979
55	144.1247788
56	143.1880426
57	142.3291738
58	141.4783381
59	140.649761
60	139.8030285
61	138.9949275
62	138.1832445
63	137.4052734
64	136.6767709
65	135.9423344
66	135.2103305
67	134.4849336
68	133.8167713
69	133.1544309
70	132.4881529
71	131.825038
72	131.1533552
73	130.5014403
74	129.8938116
75	129.2734849
76	128.6374758
77	128.0339548
78	127.4971378
79	126.9098108
80	126.3499484
81	125.7931081
82	125.2335368
83	124.6990181
84	124.1703399
85	123.6476532
86	123.1602596
87	122.6504383
88	122.1666072
89	121.7189279
90	121.2869131
91	120.8380088
92	120.3778367
93	119.9538471
94	119.5236261
95	119.1450211
96	118.6972982
97	118.2969003
98	117.9253494
99	117.5520118
100	117.1902445
101	116.8347773
102	116.4980839
103	116.1661455
104	115.8222365
105	115.470374
106	115.1355205
107	114.8695372
108	114.5621112
109	114.2433042
110	113.9114811
111	113.6215559
112	113.3161201
113	113.0468445
114	112.7696499
115	112.5053398
116	112.2013448
117	111.9034705
118	111.6326474
119	111.3254477
120	111.0580107
121	110.7583256
122	110.4502335
123	110.2038075
124	109.9706342
125	109.7020258
126	109.441864
127	109.1921811
128	108.9630892
129	108.7467196
130	108.5464261
131	108.3394171
