iter	RMSE
0	232.8307498
1	231.456021
2	230.1012844
3	228.703812
4	227.3903904
5	226.10595
6	224.8538752
7	223.4967454
8	221.8482526
9	220.6872798
10	219.4023459
11	218.2095631
12	216.9999213
13	215.722142
14	214.1558765
15	212.9829488
16	211.6935996
17	210.5540747
18	209.5489887
19	208.4709126
20	207.0230615
21	205.9795742
22	205.0083344
23	204.0895382
24	203.2159446
25	202.2288288
26	201.2660259
27	199.9396744
28	199.0353147
29	198.1953389
30	197.2848294
31	196.3679755
32	195.5342577
33	194.6912811
34	193.8725279
35	193.1353455
36	192.2998798
37	191.4735464
38	190.6289978
39	189.5754084
40	188.7478842
41	188.0173117
42	187.2992693
43	186.4890329
44	185.8294238
45	185.1759027
46	184.4950755
47	183.7348315
48	183.0836092
49	182.3337019
50	181.6082072
51	180.6646032
52	179.9367313
53	179.3035679
54	178.3000797
55	177.7094539
56	177.0564084
57	176.4225655
58	175.5726149
59	175.0600115
60	174.1047438
61	173.5660932
62	172.9590427
63	172.4768363
64	171.9908151
65	171.5156775
66	171.0312237
67	170.469731
68	169.9933209
69	169.5319974
70	169.1094349
71	168.6543186
72	168.019897
73	167.5021005
74	166.6986294
75	165.8902193
76	165.5051328
77	164.7941425
78	164.4430272
79	163.6646896
80	163.0609638
81	162.6123401
82	161.8258183
83	161.4211045
84	161.0756344
85	160.7163434
86	160.3084384
87	159.9691033
88	159.6902658
89	159.264816
90	158.9116252
91	158.5076044
92	157.8122517
93	157.3581917
94	156.9965198
95	156.6462157
96	155.9900663
97	155.7308188
98	155.426283
99	155.1469666
100	154.913153
101	154.5382672
102	154.2854949
103	153.7418692
104	153.4975618
105	153.1928697
106	152.8503428
107	152.5502323
108	152.1648683
109	151.8758325
110	151.5801382
111	151.3789644
112	151.0741357
113	150.4808334
114	150.2573366
115	149.6617
116	149.3640544
117	149.0066887
118	148.7874392
119	148.2437318
120	148.0416612
121	147.7637181
122	147.5167568
123	147.3318009
124	147.1580448
125	146.9113673
126	146.6700961
127	146.320972
128	146.0598631
129	145.9113113
130	145.752693
131	145.4945193
132	144.9799031
133	144.7203554
134	144.4815786
135	144.2450401
136	144.122006
137	143.9733219
138	143.7618778
139	143.2571367
140	142.7579006
141	142.2799602
142	141.7842216
143	141.65726
144	141.1914452
145	140.8384509
146	140.6413526
147	140.4653958
148	140.2162702
149	139.9981571
150	139.8854351
151	139.7100596
152	139.5039405
153	139.2931919
154	138.9535769
155	138.7975322
156	138.5899333
157	138.3859754
158	137.9422421
159	137.500754
160	137.3290002
161	137.2027627
162	136.769233
163	136.6925627
164	136.6248762
165	136.4554003
166	136.258582
167	136.0906319
168	135.6796176
169	135.5131708
170	135.3150578
171	135.2005656
172	134.7946889
173	134.6750599
174	134.2788249
175	134.1111137
176	133.9423262
177	133.7610646
178	133.5748509
179	133.5002785
180	133.1186483
181	132.9680914
182	132.9004873
183	132.719244
184	132.3438275
185	131.9771654
186	131.6043882
187	131.531238
188	131.3576828
189	131.2016916
190	131.0492762
191	130.8864823
192	130.7490978
193	130.6217141
194	130.2667857
195	130.2153576
196	130.180993
197	130.018627
198	129.8877081
199	129.6402723
200	129.3990843
201	129.2628749
202	128.9224489
203	128.7985694
204	128.6707346
205	128.5456868
206	128.341232
207	128.2111471
208	128.1132546
209	127.9909419
210	127.9410596
211	127.8239533
212	127.6564592
213	127.3292718
214	127.2790746
215	127.1545469
216	127.081654
217	126.7586608
218	126.4405243
219	126.3272981
220	126.3025745
221	126.1020487
222	125.979119
223	125.8786848
224	125.7672805
225	125.6632742
226	125.5221762
227	125.4237521
228	125.3708897
229	125.0606622
230	124.9681354
231	124.7656328
232	124.6686273
233	124.4485644
234	124.3472937
235	124.0462695
236	123.9369371
237	123.8911287
238	123.8048621
239	123.5118837
240	123.4340014
241	123.3364087
242	123.2436443
243	123.151324
244	123.1071947
245	123.0134956
246	122.9623958
247	122.6782078
248	122.5181501
249	122.2273049
250	122.1312431
251	122.0439086
252	122.0326363
253	121.9505428
254	121.8436602
255	121.649144
256	121.3726737
257	121.3198684
258	121.2379278
259	121.2036808
260	121.1187691
261	120.8511633
262	120.6960573
263	120.4331686
264	120.3355832
265	120.126855
266	119.8713059
267	119.7276151
268	119.6992466
269	119.6135261
270	119.5954608
271	119.3388345
272	119.0835009
273	119.0370421
274	118.9073552
275	118.7302841
276	118.6587755
277	118.6099169
278	118.5489599
279	118.380235
280	118.2135491
281	118.1361294
282	117.8944969
283	117.6816257
284	117.5955849
285	117.5276492
286	117.2922583
287	117.2200833
288	117.160729
289	117.0970374
290	117.0228688
291	116.8995565
292	116.740888
293	116.6815669
294	116.6449819
295	116.5441439
296	116.4773971
297	116.2413269
298	116.015799
299	115.9315799
300	115.7713089
301	115.6342331
302	115.3278163
303	115.2687343
304	115.2542883
305	115.0350968
306	114.9695745
307	114.9338409
308	114.8660827
309	114.8326121
310	114.7751734
311	114.7228047
312	114.5279983
313	114.5094998
314	114.4212473
315	114.3578641
316	114.2934823
317	114.2424778
318	114.2182323
319	114.1489925
320	114.0584735
321	113.8617791
322	113.7887251
323	113.5748267
324	113.5494696
325	113.4591533
326	113.3503103
327	113.2853305
328	113.2234339
329	113.0820668
330	113.0555371
331	112.9833396
332	112.9539524
333	112.898371
334	112.8279839
335	112.7530183
336	112.5973198
337	112.5246147
338	112.4886923
339	112.4041088
340	112.383237
341	112.1918412
342	112.1663864
343	112.1513547
344	112.0336273
345	111.9887011
346	111.9215221
347	111.7199965
348	111.5233633
349	111.5153962
350	111.4580275
351	111.3998536
352	111.3667762
353	111.2903844
354	111.0953571
355	111.0526068
356	110.9930625
357	110.9836155
358	110.934786
359	110.7846647
360	110.7242226
361	110.6384585
362	110.448094
363	110.4412045
364	110.383313
365	110.3047719
366	110.255703
367	110.117795
368	110.0247099
369	109.9946957
370	109.8198855
371	109.7932678
372	109.6736347
373	109.6303293
374	109.5051539
375	109.4486115
376	109.1864477
377	109.1792346
378	109.1701653
379	109.0440179
380	108.999388
381	108.9706975
382	108.9587423
383	108.8586944
384	108.8116936
385	108.6342959
386	108.5652187
387	108.5142722
388	108.3798281
389	108.1974753
390	108.0664861
391	107.8919391
392	107.8496011
393	107.6684466
394	107.6262705
395	107.6083639
396	107.572332
397	107.5273128
398	107.4807792
399	107.3764237
400	107.3210787
401	107.2779954
402	107.2431071
403	107.0699353
404	106.9553716
405	106.9122996
406	106.7860658
407	106.7794074
408	106.7468859
409	106.5984974
410	106.5315305
411	106.3665768
412	106.3322379
413	106.1774361
414	106.0214197
415	105.9974351
416	105.8452319
417	105.7922117
418	105.7755805
419	105.6161227
420	105.5777538
421	105.5382673
422	105.4850309
423	105.414318
424	105.2588885
425	105.2449399
426	105.1828856
427	105.1475643
428	105.0854652
429	105.0427043
430	104.886465
431	104.8428293
432	104.6727565
433	104.6265557
434	104.5812758
435	104.53257
436	104.386031
437	104.2325411
438	104.1267507
439	104.1211153
440	103.9471861
441	103.899349
442	103.7884785
443	103.749505
444	103.7292023
445	103.5897259
446	103.5315939
447	103.5101934
448	103.4742034
449	103.4683377
450	103.4218922
451	103.2812176
452	103.151183
453	103.1298623
454	103.0751983
455	103.0386798
456	102.9284748
457	102.8644559
458	102.8454895
459	102.8086362
460	102.7846248
461	102.7511987
462	102.6141428
463	102.4797309
464	102.3751849
465	102.2739904
466	102.2424034
467	102.2011472
468	102.1513681
469	102.0203836
470	101.9893704
471	101.956952
472	101.8526361
473	101.7223947
474	101.6708191
475	101.5041819
476	101.4801836
477	101.444722
478	101.2975938
479	101.2592416
480	101.245261
481	101.2106087
482	101.1629857
483	101.1344544
484	101.1068958
485	100.9589897
486	100.9367758
487	100.9095142
488	100.8823871
489	100.8421747
490	100.7893988
491	100.7857764
492	100.7302758
493	100.6829051
494	100.5548208
495	100.4575524
496	100.3368398
497	100.3110277
498	100.2758947
499	100.1893506
500	100.1690525
501	100.0060635
502	99.96852893
503	99.85282864
504	99.82409638
505	99.77858974
506	99.75165296
507	99.6238825
508	99.58771518
509	99.55874308
510	99.53900097
511	99.50882032
512	99.36015283
513	99.23863532
514	99.15541636
515	99.14417934
516	99.12620958
517	99.10529013
518	99.07994678
519	99.04527441
520	99.00063652
521	98.96834607
522	98.82519396
523	98.7116593
524	98.69107807
525	98.58012341
526	98.54067771
527	98.50015763
528	98.38795926
529	98.3556733
530	98.31625282
531	98.28251869
532	98.25275247
533	98.08511387
534	97.97292973
535	97.94509251
536	97.92406849
537	97.90044586
538	97.8842218
539	97.72423694
540	97.69208754
541	97.65042983
542	97.64753419
543	97.62462075
544	97.59199545
545	97.57496285
546	97.55237907
547	97.53024138
548	97.49029065
549	97.34467525
550	97.23526156
551	97.2132215
552	97.18101152
553	97.16448308
554	97.13515866
555	97.11772995
556	97.08490709
557	97.06226948
558	97.03265611
559	96.92221378
560	96.88815185
561	96.84302716
562	96.80991027
563	96.70377739
564	96.68297747
565	96.52671066
566	96.50118617
567	96.47348265
568	96.39942694
569	96.37779397
570	96.35844715
571	96.33061452
572	96.20235046
573	96.18351044
574	96.15660053
575	96.00281444
576	95.97696607
577	95.82381711
578	95.80351379
579	95.66209962
580	95.62826507
581	95.59387569
582	95.45130451
583	95.42141073
584	95.38801955
585	95.36049587
586	95.21868969
587	95.12226204
588	95.09198591
589	95.07377602
590	95.05922215
591	95.0372927
592	95.02146779
593	94.99581859
594	94.97846117
595	94.95003029
596	94.92213013
597	94.77060752
598	94.74681786
599	94.72188567
600	94.69565751
601	94.59852096
602	94.49889373
603	94.4175723
604	94.34751779
605	94.32821093
606	94.30300813
607	94.27990796
608	94.13041103
609	94.03086115
610	94.00476991
611	93.97772258
612	93.88176007
613	93.73290671
614	93.70478436
615	93.67809106
616	93.65214176
617	93.60296934
618	93.45537666
619	93.42433673
620	93.40423972
621	93.35839887
622	93.33306239
623	93.30268912
624	93.28549607
625	93.25663989
626	93.23581253
627	93.21133478
628	93.18969883
629	93.17109497
630	93.14672577
631	93.1280756
632	93.11124369
633	93.07933633
634	93.05704904
635	93.02638964
636	92.98207817
637	92.96161916
638	92.94070263
639	92.91734988
640	92.90361699
641	92.88045407
642	92.82727589
643	92.80444227
644	92.78932759
645	92.7669939
646	92.74689891
647	92.72464651
648	92.70769123
649	92.68907499
650	92.67451996
651	92.65493706
652	92.62653754
653	92.60493093
654	92.58583369
655	92.56654769
656	92.5389567
657	92.51988595
658	92.42946149
659	92.40887777
660	92.38832407
661	92.37134189
662	92.35064945
663	92.33233577
664	92.32161931
665	92.30394758
666	92.27461961
667	92.18727602
668	92.09949049
669	92.0817631
670	92.06938902
671	92.05225714
672	92.0327023
673	92.01588975
674	92.00193458
675	91.98495596
676	91.95944796
677	91.94309378
678	91.93036384
679	91.91767249
680	91.90172624
681	91.88547731
682	91.87308845
683	91.85453532
684	91.83869543
685	91.82675867
686	91.8017196
687	91.78474427
688	91.76855748
689	91.75285989
690	91.73499859
691	91.71733482
692	91.57249143
693	91.55989361
694	91.41581164
695	91.39820855
696	91.37225759
697	91.35714391
698	91.32609842
699	91.23762609
700	91.22635619
701	91.16636312
702	91.08469014
703	91.06861303
704	91.05641474
705	91.04497601
706	91.03297047
707	91.00451086
